#VALUE!,අකුර ඇකඩමි,,,,,,,,,,,,
ඔබ විසින් සකස් කරන ප්‍රශ්න සහ උත්තර පහත පරිදි සම්පූර්ණ කොට එවීමට කාරුණික වන්න.,,,,,විෂය- සිංහල/ විද්‍යාව,,අංශය - උසස් පෙළ / සාමාන්‍ය පෙළ,,,නම - ඒ. කේ. කුමාර (ඔබේ නම),,දු.ක.අං - ,ඊමේලය - 
Q065,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q066,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q067,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q068,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q069,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q070,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q071,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q072,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q073,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q074,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q075,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q076,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q077,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q078,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q079,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q080,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q081,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q082,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q083,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q084,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q085,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q086,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q087,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q088,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q089,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q090,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q091,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q092,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q093,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q094,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q095,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q096,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q097,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q098,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q099,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q100,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q101,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q102,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q103,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q104,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q105,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q106,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q107,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q108,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q109,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q110,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q111,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q112,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q113,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q114,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q115,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q116,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q117,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q118,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q119,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q120,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q121,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q122,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q123,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q124,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q125,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q126,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q127,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q128,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q129,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q130,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q131,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q132,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q133,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q134,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q135,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q136,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q137,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q138,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q139,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q140,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q141,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q142,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q143,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q144,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q145,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q146,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q147,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q148,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q149,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q150,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q151,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q152,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q153,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q154,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q155,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q156,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q157,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q158,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q159,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q160,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q161,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q162,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q163,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q164,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q165,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q166,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q167,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q168,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q169,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q170,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q171,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q172,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q173,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q174,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q175,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q176,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q177,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q178,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q179,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q180,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q181,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q182,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q183,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q184,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q185,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q186,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q187,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q188,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q189,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q190,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q191,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q192,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q193,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q194,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q195,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q196,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q197,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q198,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q199,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q200,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q201,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q202,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q203,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q204,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q205,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q206,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q207,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q208,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q209,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q210,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q211,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q212,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q213,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q214,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q215,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q216,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q217,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q218,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q219,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q220,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q221,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q222,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q223,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q224,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q225,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q226,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q227,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q228,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q229,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q230,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q231,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q232,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q233,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q234,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q235,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q236,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q237,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q238,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q239,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q240,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q241,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q242,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q243,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q244,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q245,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q246,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q247,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q248,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q249,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q250,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q251,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q252,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q253,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q254,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q255,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q256,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q257,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q258,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q259,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q260,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q261,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q262,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q263,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q264,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q265,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q266,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q267,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q268,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q269,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q270,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q271,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q272,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q273,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q274,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q275,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q276,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q277,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q278,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q279,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q280,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q281,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q282,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q283,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q284,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q285,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q286,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q287,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q288,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q289,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q290,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q291,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q292,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q293,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q294,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q295,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q296,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q297,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q298,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q299,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q300,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q301,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q302,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q303,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q304,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q305,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q306,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q307,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q308,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q309,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q310,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q311,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q312,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q313,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q314,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q315,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q316,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q317,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q318,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q319,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q320,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q321,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q322,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q323,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q324,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q325,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q326,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q327,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q328,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q329,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q330,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q331,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q332,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q333,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q334,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q335,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q336,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q337,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q338,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q339,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q340,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q341,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q342,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q343,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q344,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q345,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q346,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
